,latitude,longitude,possible_illegal,room_type
735,40.7726236822,-73.9236390781,False,Entire home/apt
736,40.7650681785,-73.9057728254,False,Entire home/apt
741,40.7570649583,-73.9183394686,False,Private room
742,40.7695584252,-73.9178709807,False,Private room
743,40.7558291573,-73.9259585756,False,Entire home/apt
746,40.7658944468,-73.9286419364,False,Entire home/apt
747,40.757618097,-73.9140479814,False,Entire home/apt
749,40.7627229702,-73.9200413011,False,Private room
751,40.7621618056,-73.9254170976,False,Entire home/apt
753,40.7538400283,-73.9143252073,True,Entire home/apt
770,40.7691396521,-73.9211811087,True,Private room
771,40.770100144,-73.9321906979,False,Private room
776,40.7658734288,-73.9215661161,False,Entire home/apt
777,40.7590444544,-73.9199864481,True,Entire home/apt
791,40.7640295859,-73.9216230121,True,Entire home/apt
796,40.7593465632,-73.9262062364,True,Private room
797,40.7677657127,-73.9110896209,False,Shared room
799,40.7637547905,-73.9180769722,False,Private room
800,40.7558286645,-73.9183944085,False,Shared room
810,40.7674505299,-73.9302160881,False,Entire home/apt
811,40.7646618814,-73.9170629357,False,Private room
813,40.7589591914,-73.9152960993,False,Private room
815,40.764957745,-73.9229249477,True,Private room
816,40.7649583182,-73.9116941072,False,Private room
817,40.7571013775,-73.9185694639,False,Entire home/apt
818,40.7627929818,-73.9261951135,False,Entire home/apt
821,40.7676255602,-73.9127101682,False,Entire home/apt
822,40.7626813228,-73.9053815735,False,Private room
824,40.7663134133,-73.9269186896,False,Entire home/apt
829,40.7625767603,-73.9214062376,False,Private room
834,40.7632714971,-73.924571973,False,Entire home/apt
835,40.7677581364,-73.9311979284,False,Private room
838,40.7595178272,-73.9167481653,False,Entire home/apt
839,40.7754058651,-73.9288865678,False,Entire home/apt
840,40.7647166752,-73.9242838242,True,Private room
842,40.758204946,-73.9168650387,True,Entire home/apt
846,40.7637757211,-73.9226883315,False,Entire home/apt
848,40.7625373586,-73.9141476134,False,Private room
849,40.7550802809,-73.9167305323,True,Entire home/apt
855,40.7637360508,-73.9226799554,False,Entire home/apt
857,40.7567872335,-73.914737036,True,Entire home/apt
858,40.7683310991,-73.9235472327,False,Entire home/apt
860,40.7639001439,-73.9267633989,False,Private room
863,40.7745307755,-73.9283331864,False,Entire home/apt
869,40.7644585615,-73.9069828305,False,Private room
872,40.7614129409,-73.918354686,False,Private room
875,40.7658269058,-73.9192528845,False,Entire home/apt
886,40.7645739566,-73.9120520257,False,Entire home/apt
887,40.7638681345,-73.925928285,False,Entire home/apt
889,40.7664961101,-73.9175886676,False,Private room
894,40.7611425273,-73.9139766912,False,Private room
895,40.7696380638,-73.9140244828,False,Entire home/apt
897,40.7685491342,-73.9258281279,False,Private room
900,40.7606216275,-73.9174952494,True,Entire home/apt
902,40.7734269443,-73.9274924366,False,Private room
911,40.7617745404,-73.9135879676,False,Entire home/apt
912,40.7608963457,-73.9228775621,False,Entire home/apt
913,40.7645402703,-73.9137029307,False,Entire home/apt
917,40.7553683848,-73.9164827589,False,Private room
920,40.7596242236,-73.9141864731,False,Private room
921,40.7636871598,-73.9229072652,True,Entire home/apt
922,40.766715577,-73.9251566291,True,Private room
925,40.7659199357,-73.918115988,False,Private room
930,40.7645139135,-73.9294247463,True,Private room
934,40.7711545003,-73.9227486781,False,Private room
936,40.7664801297,-73.9327311241,True,Private room
938,40.7579252892,-73.9268482639,True,Private room
939,40.7627840576,-73.9269641776,False,Private room
941,40.7680955475,-73.9165061834,False,Private room
943,40.7591641027,-73.9142664632,True,Private room
947,40.7642683232,-73.9182285678,False,Private room
949,40.7581836806,-73.9267855525,True,Private room
950,40.7657605906,-73.9240028738,False,Private room
953,40.7578153256,-73.9265510319,True,Private room
954,40.7613257974,-73.9241173284,False,Entire home/apt
956,40.7697220149,-73.9206033425,False,Private room
957,40.7619570064,-73.9192821575,False,Entire home/apt
959,40.7593104317,-73.9269755444,True,Private room
961,40.7587775828,-73.9261524748,False,Private room
965,40.7679900773,-73.9123416336,False,Private room
966,40.764586896,-73.907317411,True,Private room
968,40.7651199283,-73.9243134003,False,Entire home/apt
972,40.7661545384,-73.9132530807,False,Private room
974,40.7719948449,-73.9315918431,False,Private room
978,40.7628758235,-73.9262642388,False,Entire home/apt
980,40.7583252936,-73.9254661307,False,Private room
984,40.7676209282,-73.9072698214,True,Entire home/apt
987,40.7574364166,-73.9216265479,False,Entire home/apt
993,40.7569511687,-73.9202022732,False,Entire home/apt
994,40.7626356251,-73.9115596318,False,Entire home/apt
995,40.7679382384,-73.9341330301,True,Entire home/apt
1007,40.7554636843,-73.9176833218,False,Private room
1009,40.7662838494,-73.9176053052,False,Private room
1012,40.7575085508,-73.9167790019,True,Entire home/apt
1013,40.7707980992,-73.9243056672,True,Private room
1014,40.7626930147,-73.9238545853,True,Private room
1021,40.7638794903,-73.9221034605,True,Private room
1024,40.762908146,-73.9187145488,True,Private room
1027,40.7572474226,-73.9109771963,True,Entire home/apt
1030,40.7576093705,-73.9266000101,True,Private room
1031,40.7697933406,-73.9201949709,False,Entire home/apt
1034,40.7592886417,-73.9172958142,False,Private room
1040,40.7640821344,-73.9234733748,False,Entire home/apt
1041,40.7634797138,-73.9175453891,False,Private room
1047,40.7697409264,-73.921430064,False,Private room
1048,40.7661845702,-73.9225226381,True,Private room
1050,40.7620290963,-73.9209183707,False,Shared room
1052,40.7664011114,-73.9045461935,False,Private room
1054,40.7750024684,-73.9302085367,False,Private room
1055,40.7690372246,-73.9294268401,False,Private room
1056,40.7656961954,-73.9246891981,False,Private room
1058,40.767479917,-73.928422759,True,Private room
1061,40.7674178813,-73.9249905529,False,Entire home/apt
1065,40.761955125,-73.9240015061,False,Entire home/apt
1068,40.7591907499,-73.9183634279,True,Entire home/apt
1069,40.7674088911,-73.9261179915,True,Shared room
1070,40.7643046012,-73.9263743837,False,Entire home/apt
1074,40.7634775443,-73.9269557526,False,Entire home/apt
1075,40.7700495906,-73.9283953983,False,Private room
1076,40.7583897507,-73.9197097876,False,Private room
1077,40.7599742932,-73.9092593009,True,Entire home/apt
1078,40.768828579,-73.9241030327,True,Shared room
1079,40.7695809868,-73.9222305229,False,Entire home/apt
1081,40.7592420819,-73.927109674,True,Private room
1083,40.7648824681,-73.9240247936,False,Entire home/apt
1096,40.7701639116,-73.9222261378,False,Entire home/apt
1097,40.7642318521,-73.9219649947,True,Private room
1100,40.7660223181,-73.9174158966,False,Entire home/apt
1102,40.7636406225,-73.9283430072,True,Entire home/apt
1107,40.7675196982,-73.9272989285,False,Private room
1115,40.7663809184,-73.93236487,True,Entire home/apt
1116,40.7680078236,-73.9250085235,False,Private room
1118,40.7678281375,-73.9231573714,False,Private room
1121,40.7678593613,-73.9243320855,False,Private room
1122,40.7577920059,-73.9225744036,True,Private room
1123,40.7574285392,-73.9236584635,False,Entire home/apt
