,GEOID,County ,median_rent,monthly_BnB,rent_diff,poverty_rate,premium_pct_median_rent
518,36047033100,Kings,1225.0,2600.0,1375.0,0.155227032735,1.12244897959
519,36047033300,Kings,1222.0,4200.0,2978.0,0.146389713155,2.43698854337
520,36047033500,Kings,1322.0,3375.0,2053.0,0.151851851852,1.55295007564
521,36047033700,Kings,1198.0,5091.17647059,3893.17647059,0.16803760282,3.24972994206
523,36047034100,Kings,1263.0,4012.5,2749.5,0.158461538462,2.17695961995
525,36047034500,Kings,1179.0,4190.0,3011.0,0.339285714286,2.55385920271
526,36047034800,Kings,1427.0,5400.0,3973.0,0.273267326733,2.78416257884
527,36047034900,Kings,1144.0,5680.90909091,4536.90909091,0.293924466338,3.96582962492
528,36047035000,Kings,1017.0,2955.0,1938.0,0.222914072229,1.90560471976
529,36047035100,Kings,1047.0,8280.0,7233.0,0.372115384615,6.90830945559
530,36047035400,Kings,779.0,3600.0,2821.0,0.0243309002433,3.62130937099
531,36047035500,Kings,1150.0,2592.0,1442.0,0.184514003295,1.25391304348
533,36047035602,Kings,1139.0,5550.0,4411.0,0.102154828412,3.8726953468
534,36047035900,Kings,1113.0,3024.0,1911.0,0.431627196333,1.71698113208
535,36047036001,Kings,966.0,2010.0,1044.0,0.229219143577,1.08074534161
536,36047036200,Kings,1083.0,4125.0,3042.0,0.361333333333,2.80886426593
537,36047036300,Kings,1107.0,2230.0,1123.0,0.216432865731,1.01445347787
539,36047036501,Kings,938.0,2400.0,1462.0,0.208667736758,1.55863539446
540,36047036502,Kings,986.0,2260.0,1274.0,0.214912280702,1.29208924949
541,36047036600,Kings,1156.0,4500.0,3344.0,0.221105527638,2.89273356401
542,36047036900,Kings,1088.0,4969.41176471,3881.41176471,0.356649395509,3.56747404845
544,36047037100,Kings,1206.0,5282.30769231,4076.30769231,0.243470935131,3.38002296211
545,36047037300,Kings,1120.0,3564.54545455,2444.54545455,0.361052631579,2.18262987013
546,36047037401,Kings,1237.0,2700.0,1463.0,0.0470914127424,1.18270008084
548,36047037500,Kings,1304.0,4715.45454545,3411.45454545,0.200577200577,2.61614612381
549,36047037700,Kings,1402.0,3727.0,2325.0,0.234704112337,1.65834522111
550,36047037900,Kings,1145.0,3915.0,2770.0,0.280320366133,2.4192139738
551,36047038100,Kings,671.0,4502.0,3831.0,0.271042471042,5.70938897168
552,36047038300,Kings,1321.0,4173.24324324,2852.24324324,0.104210526316,2.1591546126
553,36047038500,Kings,1033.0,4935.65217391,3902.65217391,0.274294670846,3.77797887116
555,36047038700,Kings,1052.0,4255.71428571,3203.71428571,0.235361653272,3.0453557849
556,36047038800,Kings,1321.0,9000.0,7679.0,0.164742917104,5.81302043906
558,36047039100,Kings,1158.0,4241.05263158,3083.05263158,0.410339256866,2.66239432779
559,36047039200,Kings,1240.0,3720.0,2480.0,0.156338028169,2.0
561,36047039800,Kings,1226.0,3135.0,1909.0,0.146050670641,1.55709624796
562,36047039900,Kings,1141.0,3486.92307692,2345.92307692,0.291727140784,2.05602373087
563,36047040000,Kings,1262.0,2750.0,1488.0,0.2,1.17908082409
564,36047040100,Kings,1188.0,7160.625,5972.625,0.144975288303,5.02746212121
566,36047040300,Kings,1344.0,3762.0,2418.0,0.444876783398,1.79910714286
568,36047040500,Kings,1317.0,5113.33333333,3796.33333333,0.245454545455,2.88256137686
572,36047040900,Kings,1290.0,3645.0,2355.0,0.347575057737,1.82558139535
574,36047041100,Kings,1162.0,5364.0,4202.0,0.347074468085,3.61617900172
576,36047041300,Kings,1278.0,5365.0,4087.0,0.139954853273,3.19796557121
